,URL,Dinosaur,Height,Weight
82,https://en.wikipedia.org/wiki/Amargastegos,Amargastegos,-,-
83,https://en.wikipedia.org/wiki/Amargatitanis,Amargatitanis,-,-
84,https://en.wikipedia.org/wiki/Amazonsaurus,Amazonsaurus,12 meters,-
85,https://en.wikipedia.org/wiki/Ambopteryx,Ambopteryx,-,-
86,https://en.wikipedia.org/wiki/Ammosaurus,Ammosaurus,-,-
87,https://en.wikipedia.org/wiki/Anchisaurus,Anchisaurus,-,-
88,https://en.wikipedia.org/wiki/Ampelosaurus,Ampelosaurus,-,-
89,https://en.wikipedia.org/wiki/Amphicoelias,Amphicoelias,-,-
90,https://en.wikipedia.org/wiki/Amphicoelicaudia,Amphicoelicaudia,200 meters,-
91,https://en.wikipedia.org/wiki/Huabeisaurus,Huabeisaurus,200 meters,-
92,https://en.wikipedia.org/wiki/Amphisaurus,Amphisaurus,-,-
93,https://en.wikipedia.org/wiki/Amtocephale,Amtocephale,-,-
94,https://en.wikipedia.org/wiki/Amtosaurus,Amtosaurus,-,-
95,https://en.wikipedia.org/wiki/Talarurus,Talarurus,-,-
96,https://en.wikipedia.org/wiki/Amurosaurus,Amurosaurus,-,000 kilograms
97,https://en.wikipedia.org/wiki/Amygdalodon,Amygdalodon,-,5 tonnes
98,https://en.wikipedia.org/wiki/Anabisetia,Anabisetia,-,-
99,https://en.wikipedia.org/wiki/Analong,Analong,-,-
100,https://en.wikipedia.org/wiki/Anasazisaurus,Anasazisaurus,5 meters,-
101,https://en.wikipedia.org/wiki/Anatosaurus,Anatosaurus,-,-
102,https://en.wikipedia.org/wiki/Edmontosaurus,Edmontosaurus,-,-
103,https://en.wikipedia.org/wiki/Anatotitan,Anatotitan,-,-
104,https://en.wikipedia.org/wiki/Anchiceratops,Anchiceratops,-,-
105,https://en.wikipedia.org/wiki/Anchiornis,Anchiornis,-,11 kilograms
106,https://en.wikipedia.org/wiki/Andesaurus,Andesaurus,-,-
107,https://en.wikipedia.org/wiki/Andhrasaurus,Andhrasaurus,-,-
108,https://en.wikipedia.org/wiki/Angaturama,Angaturama,8 meters,-
109,https://en.wikipedia.org/wiki/Irritator,Irritator,8 meters,-
110,https://en.wikipedia.org/wiki/Angloposeidon,Angloposeidon,-,-
111,https://en.wikipedia.org/wiki/Angolatitan,Angolatitan,-,-
112,https://en.wikipedia.org/wiki/Angulomastacator,Angulomastacator,-,-
113,https://en.wikipedia.org/wiki/Anhuilong,Anhuilong,-,-
114,https://en.wikipedia.org/wiki/Aniksosaurus,Aniksosaurus,-,65 kilograms
115,https://en.wikipedia.org/wiki/Animantarx,Animantarx,3 meters,-
116,https://en.wikipedia.org/wiki/Ankistrodon,Ankistrodon,-,-
117,https://en.wikipedia.org/wiki/Proterosuchid,proterosuchid,5 meters,-
118,https://en.wikipedia.org/wiki/Archosauriform,archosauriform,-,-
119,https://en.wikipedia.org/wiki/Ankylosaurus,Ankylosaurus,8 meters,-
120,https://en.wikipedia.org/wiki/Anzu,Anzu,-,-
121,https://en.wikipedia.org/wiki/Anodontosaurus,Anodontosaurus,-,-
122,https://en.wikipedia.org/wiki/Anomalipes,Anomalipes,-,-
123,https://en.wikipedia.org/wiki/Anoplosaurus,Anoplosaurus,-,-
124,https://en.wikipedia.org/wiki/Anserimimus,Anserimimus,-,-
125,https://en.wikipedia.org/wiki/Antarctopelta,Antarctopelta,4 meters,-
126,https://en.wikipedia.org/wiki/Antarctosaurus,Antarctosaurus,-,-
127,https://en.wikipedia.org/wiki/Antetonitrus,Antetonitrus,-,-
128,https://en.wikipedia.org/wiki/Anthodon_(reptile),Anthodon,5 meters,-
129,https://en.wikipedia.org/wiki/Pareiasaur,pareiasaur,-,600 kilograms
130,https://en.wikipedia.org/wiki/Antrodemus,Antrodemus,-,-
131,https://en.wikipedia.org/wiki/Anzu_wyliei,Anzu,-,200 kilograms
132,https://en.wikipedia.org/wiki/Aoniraptor,Aoniraptor,-,-
133,https://en.wikipedia.org/wiki/Aorun,Aorun,-,-
134,https://en.wikipedia.org/wiki/Apatodon,Apatodon,-,-
135,https://en.wikipedia.org/wiki/Apatoraptor,Apatoraptor,-,-
136,https://en.wikipedia.org/wiki/Appalachiosaurus,Appalachiosaurus,7 meters,600 kilograms
137,https://en.wikipedia.org/wiki/Aquilarhinus,Aquilarhinus,-,-
138,https://en.wikipedia.org/wiki/Aquilops,Aquilops,-,-
139,https://en.wikipedia.org/wiki/Aragosaurus,Aragosaurus,-,25 tonnes
140,https://en.wikipedia.org/wiki/Aralosaurus,Aralosaurus,-,-
141,https://en.wikipedia.org/wiki/Aratasaurus,Aratasaurus,-,34 kilograms
142,https://en.wikipedia.org/wiki/Araucanoraptor,Araucanoraptor,-,-
143,https://en.wikipedia.org/wiki/Neuquenraptor,Neuquenraptor,-,-
144,https://en.wikipedia.org/wiki/Archaeoceratops,Archaeoceratops,-,-
145,https://en.wikipedia.org/wiki/Archaeodontosaurus,Archaeodontosaurus,-,-
146,https://en.wikipedia.org/wiki/Archaeopteryx,Archaeopteryx,-,-
147,https://en.wikipedia.org/wiki/Archaeoraptor,Archaeoraptor,-,-
148,https://en.wikipedia.org/wiki/Yanornis,Yanornis,-,-
149,https://en.wikipedia.org/wiki/Dromaeosaur,dromaeosaur,-,-
150,https://en.wikipedia.org/wiki/Microraptor,Microraptor,-,-
151,https://en.wikipedia.org/wiki/Archaeornis,Archaeornis,-,-
152,https://en.wikipedia.org/wiki/Archaeornithoides,Archaeornithoides,-,-
153,https://en.wikipedia.org/wiki/Archaeornithomimus,Archaeornithomimus,-,-
154,https://en.wikipedia.org/wiki/Arcovenator,Arcovenator,-,-
155,https://en.wikipedia.org/wiki/Arctosaurus,Arctosaurus,-,-
156,https://en.wikipedia.org/wiki/Arcusaurus,Arcusaurus,-,-
157,https://en.wikipedia.org/wiki/Arenysaurus,Arenysaurus,-,-
158,https://en.wikipedia.org/wiki/Argentinosaurus,Argentinosaurus,-,100 tonnes
159,https://en.wikipedia.org/wiki/Argyrosaurus,Argyrosaurus,-,12 tonnes
160,https://en.wikipedia.org/wiki/Aristosaurus,Aristosaurus,-,-
161,https://en.wikipedia.org/wiki/Aristosuchus,Aristosuchus,-,30 kilograms
162,https://en.wikipedia.org/wiki/Arizonasaurus,Arizonasaurus,-,-
163,https://en.wikipedia.org/wiki/Rauisuchian,rauisuchian,-,-
164,https://en.wikipedia.org/wiki/Arkansaurus,Arkansaurus,-,-
165,https://en.wikipedia.org/wiki/Arkharavia,Arkharavia,-,-
166,https://en.wikipedia.org/wiki/Arrhinoceratops,Arrhinoceratops,-,-
167,https://en.wikipedia.org/wiki/Arstanosaurus,Arstanosaurus,-,-
168,https://en.wikipedia.org/wiki/Asfaltovenator,Asfaltovenator,-,-
169,https://en.wikipedia.org/wiki/Asiaceratops,Asiaceratops,-,-
170,https://en.wikipedia.org/wiki/Asiamericana,Asiamericana,-,-
171,https://en.wikipedia.org/wiki/Fish,fish,-,-
172,https://en.wikipedia.org/wiki/Asiatosaurus,Asiatosaurus,-,-
173,https://en.wikipedia.org/wiki/Asilisaurus,Asilisaurus,-,-
174,https://en.wikipedia.org/wiki/Astrodon,Astrodon,-,-
175,https://en.wikipedia.org/wiki/Astrodonius,Astrodonius,-,-
176,https://en.wikipedia.org/wiki/Astrodontaurus,Astrodontaurus,-,-
177,https://en.wikipedia.org/wiki/Astrophocaudia,Astrophocaudia,-,-
178,https://en.wikipedia.org/wiki/Asylosaurus,Asylosaurus,-,25 kilograms
179,https://en.wikipedia.org/wiki/Atacamatitan,Atacamatitan,-,-
180,https://en.wikipedia.org/wiki/Atlantosaurus,Atlantosaurus,-,-
181,https://en.wikipedia.org/wiki/Atlasaurus,Atlasaurus,-,5 tonnes
182,https://en.wikipedia.org/wiki/Atlascopcosaurus,Atlascopcosaurus,-,-
183,https://en.wikipedia.org/wiki/Atrociraptor,Atrociraptor,-,-
184,https://en.wikipedia.org/wiki/Atsinganosaurus,Atsinganosaurus,12 meters,-
185,https://en.wikipedia.org/wiki/Aublysodon,Aublysodon,-,-
186,https://en.wikipedia.org/wiki/Aucasaurus,Aucasaurus,-,-
187,https://en.wikipedia.org/wiki/Augustia,Augustia,-,-
188,https://en.wikipedia.org/wiki/Augustynolophus,Augustynolophus,-,-
189,https://en.wikipedia.org/wiki/Auroraceratops,Auroraceratops,-,-
190,https://en.wikipedia.org/wiki/Aurornis,Aurornis,-,-
191,https://en.wikipedia.org/wiki/Australodocus,Australodocus,-,-
192,https://en.wikipedia.org/wiki/Australovenator,Australovenator,-,000 kilograms
193,https://en.wikipedia.org/wiki/Austrocheirus,Austrocheirus,5 meters,-
194,https://en.wikipedia.org/wiki/Austroposeidon,Austroposeidon,-,-
195,https://en.wikipedia.org/wiki/Austroraptor,Austroraptor,-,-
196,https://en.wikipedia.org/wiki/Austrosaurus,Austrosaurus,20 meters,-
197,https://en.wikipedia.org/wiki/Avaceratops,Avaceratops,-,-
198,https://en.wikipedia.org/wiki/Avalonia_(dinosaur),Avalonia,-,-
199,https://en.wikipedia.org/wiki/Avalonianus,Avalonianus,-,-
200,https://en.wikipedia.org/wiki/Archosaur,archosaur,-,-
201,https://en.wikipedia.org/wiki/Aviatyrannis,Aviatyrannis,-,-
202,https://en.wikipedia.org/wiki/Avimimus,Avimimus,-,-
203,https://en.wikipedia.org/wiki/Avipes,Avipes,-,-
204,https://en.wikipedia.org/wiki/Dinosauromorph,dinosauromorph,-,-
205,https://en.wikipedia.org/wiki/Avisaurus,Avisaurus,-,-
206,https://en.wikipedia.org/wiki/Enantiornithine,enantiornithine,-,-
207,https://en.wikipedia.org/wiki/Azendohsaurus,Azendohsaurus,-,-
208,https://en.wikipedia.org/wiki/Archosauromorph,archosauromorph,-,-
209,https://en.wikipedia.org/wiki/Baalsaurus,Baalsaurus,-,-
210,https://en.wikipedia.org/wiki/Bactrosaurus,Bactrosaurus,-,-
211,https://en.wikipedia.org/wiki/Bagaceratops,Bagaceratops,-,-
212,https://en.wikipedia.org/wiki/Bagaraatan,Bagaraatan,-,-
213,https://en.wikipedia.org/wiki/Bagualia,Bagualia,-,-
214,https://en.wikipedia.org/wiki/Bagualosaurus,Bagualosaurus,-,-
215,https://en.wikipedia.org/wiki/Bahariasaurus,Bahariasaurus,12 meters,4 tonnes
216,https://en.wikipedia.org/wiki/Bainoceratops,Bainoceratops,-,-
217,https://en.wikipedia.org/wiki/Bajadasaurus,Bajadasaurus,-,-
218,https://en.wikipedia.org/wiki/Bakesaurus,Bakesaurus,-,-
219,https://en.wikipedia.org/wiki/Balaur_bondoc,Balaur,-,-
220,https://en.wikipedia.org/wiki/Balochisaurus,Balochisaurus,-,-
221,https://en.wikipedia.org/wiki/Bambiraptor,Bambiraptor,-,-
222,https://en.wikipedia.org/wiki/Banji,Banji,-,-
223,https://en.wikipedia.org/wiki/Bannykus,Bannykus,-,-
224,https://en.wikipedia.org/wiki/Barosaurus,Barosaurus,27 meters,66 tonnes
